NOM;CODI;DATA_INI;DATA_FI;RESIDENCIA;IEPG_CONFIRMAT;R0_CONFIRMAT_M;TAXA_CASOS_CONFIRMAT;CASOS_CONFIRMAT;TAXA_PCR;PCR;PERC_PCR_POSITIVES;INGRESSOS_TOTAL;INGRESSOS_CRITIC;EXITUS
CATALUNYA;CATALUNYA;2020-07-29;2020-08-04;No;171.567;1.04821;80.1093;6094;1012.0538;76988;8.3370;453;75;41
CATALUNYA;CATALUNYA;2020-07-29;2020-08-04;--;;;0.0000;133;0.0000;1170;6.9747;75;29;0
CATALUNYA;CATALUNYA;2020-07-29;2020-08-04;Si;;;268.6968;174;6410.1178;4151;5.3288;57;0;28
CATALUNYA;CATALUNYA;2020-07-28;2020-08-03;No;174.817;1.05594;81.5421;6203;1000.8406;76135;8.5043;465;78;40
CATALUNYA;CATALUNYA;2020-07-28;2020-08-03;--;;;0.0000;132;0.0000;1106;7.1889;74;27;0
CATALUNYA;CATALUNYA;2020-07-28;2020-08-03;Si;;;301.1257;195;6343.7157;4108;5.6625;60;0;27
CATALUNYA;CATALUNYA;2020-07-27;2020-08-02;--;;;0.0000;116;0.0000;1080;6.9063;85;7;0
CATALUNYA;CATALUNYA;2020-07-27;2020-08-02;Si;;;298.0372;193;6079.6516;3937;5.6693;60;0;27
CATALUNYA;CATALUNYA;2020-07-27;2020-08-02;No;177.132;1.06225;83.1985;6329;999.0660;76000;8.5018;469;86;45
CATALUNYA;CATALUNYA;2020-07-26;2020-08-01;No;177.155;1.05972;83.4877;6351;1010.2792;76853;8.5402;515;95;47
CATALUNYA;CATALUNYA;2020-07-26;2020-08-01;--;;;0.0000;114;0.0000;1083;6.9811;84;5;0
CATALUNYA;CATALUNYA;2020-07-26;2020-08-01;Si;;;298.0372;193;6087.3727;3942;5.7160;56;0;28
CATALUNYA;CATALUNYA;2020-07-25;2020-07-31;No;177.498;1.05628;83.5929;6359;1008.7674;76738;8.4761;510;97;49
CATALUNYA;CATALUNYA;2020-07-25;2020-07-31;--;;;0.0000;117;0.0000;1102;6.9444;76;4;0
CATALUNYA;CATALUNYA;2020-07-25;2020-07-31;Si;;;307.3026;199;5988.5417;3878;5.8045;60;0;28
CATALUNYA;CATALUNYA;2020-07-24;2020-07-30;--;;;0.0000;126;0.0000;1077;7.6560;74;2;0
CATALUNYA;CATALUNYA;2020-07-24;2020-07-30;Si;;;315.0238;204;5874.2684;3804;6.0809;70;0;27
CATALUNYA;CATALUNYA;2020-07-24;2020-07-30;No;175.92;1.06193;82.6595;6288;1009.1223;76765;8.2817;549;100;46
CATALUNYA;CATALUNYA;2020-07-23;2020-07-29;--;;;0.0000;149;0.0000;1062;8.5249;76;2;0
CATALUNYA;CATALUNYA;2020-07-23;2020-07-29;Si;;;279.5064;181;5934.4935;3843;5.1030;78;0;25
CATALUNYA;CATALUNYA;2020-07-23;2020-07-29;No;178.031;1.08509;83.4088;6345;1017.9299;77435;8.1709;581;106;38
CATALUNYA;CATALUNYA;2020-07-22;2020-07-28;No;179.578;1.11452;83.5666;6357;985.5786;74974;8.3831;598;138;37
CATALUNYA;CATALUNYA;2020-07-22;2020-07-28;--;;;0.0000;142;0.0000;1038;8.3497;76;1;0
CATALUNYA;CATALUNYA;2020-07-22;2020-07-28;Si;;;220.8255;143;6042.5899;3913;3.8138;67;0;24
CATALUNYA;CATALUNYA;2020-07-21;2020-07-27;--;;;0.0000;144;0.0000;1009;8.7879;82;1;0
CATALUNYA;CATALUNYA;2020-07-21;2020-07-27;Si;;;157.5119;102;5925.2281;3837;2.8378;66;0;21
CATALUNYA;CATALUNYA;2020-07-21;2020-07-27;No;179.88;1.15376;84.0135;6391;972.7616;73999;8.5301;617;153;39
CATALUNYA;CATALUNYA;2020-07-20;2020-07-26;--;;;0.0000;165;0.0000;994;9.2952;71;2;0
